new-namespace,classname,path,old-namespace,test
"ProductListing\Import",ProductListingContentBlockSnippetKeyGeneratorLocatorStrategy,src/SnippetKeyGeneratorLocator/ProductListingContentBlockSnippetKeyGeneratorLocatorStrategy.php,"LizardsAndPumpkins\SnippetKeyGeneratorLocator",tests/Unit/Suites/SnippetKeyGeneratorLocator/ProductListingContentBlockSnippetKeyGeneratorLocatorStrategyTest.php
"ProductListing\Import\TemplateRendering",ProductListingDescriptionBlock,src/Product/Block/ProductListingDescriptionBlock.php,"LizardsAndPumpkins\Product\Block",tests/Unit/Suites/Product/Block/ProductListingDescriptionBlockTest.php
"ProductListing\Import\TemplateRendering",ProductListingDescriptionBlockRenderer,src/Product/ProductListingDescriptionBlockRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingDescriptionBlockRendererTest.php
"ProductListing\Import",ProductListingDescriptionSnippetRenderer,src/Product/ProductListingDescriptionSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingDescriptionSnippetRendererTest.php
"Import\Product\Listing",ProductListingImportCommandLocator,src/Projection/Catalog/Import/ImportCommand/ProductListingImportCommandLocator.php,"LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand",tests/Unit/Suites/Projection/Catalog/Import/ImportCommand/ProductListingImportCommandLocatorTest.php
"ProductListing\ContentDelivery",ProductListingPageContentBuilder,src/ContentDelivery/Catalog/ProductListingPageContentBuilder.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductListingPageContentBuilderTest.php
"ProductListing\ContentDelivery",ProductListingPageRequest,src/ContentDelivery/Catalog/ProductListingPageRequest.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductListingPageRequestTest.php
"ProductListing\ContentDelivery",ProductListingRequestHandler,src/ContentDelivery/Catalog/ProductListingRequestHandler.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductListingRequestHandlerTest.php
"ProductListing\Import",ProductListingRobotsMetaTagSnippetRenderer,src/Product/ProductListingRobotsMetaTagSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingRobotsMetaTagSnippetRendererTest.php
"ProductListing\Import",ProductListingSnippetContent,src/Product/ProductListingSnippetContent.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingSnippetContentTest.php
"ProductListing\Import",ProductListingSnippetProjector,src/Product/ProductListingSnippetProjector.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingSnippetProjectorTest.php
"ProductListing\Import",ProductListingSnippetRenderer,src/Product/ProductListingSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingSnippetRendererTest.php
"ProductListing\Import",ProductListingTemplateProjector,src/Product/ProductListingTemplateProjector.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingTemplateProjectorTest.php
"ProductListing\Import",ProductListingTemplateSnippetRenderer,src/Projection/Catalog/Import/Listing/ProductListingTemplateSnippetRenderer.php,"LizardsAndPumpkins\Projection\Catalog\Import\Listing",tests/Unit/Suites/Projection/Catalog/Import/Listing/ProductListingTemplateSnippetRendererTest.php
"ProductListing\Import",ProductListingTitleSnippetRenderer,src/Product/ProductListingTitleSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingTitleSnippetRendererTest.php
ProductListing,ProductListingWasAddedDomainEvent,src/Product/ProductListingWasAddedDomainEvent.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingWasAddedDomainEventTest.php
ProductListing,ProductListingWasAddedDomainEventHandler,src/Product/ProductListingWasAddedDomainEventHandler.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductListingWasAddedDomainEventHandlerTest.php
UNUSED,ProductNotFoundException,src/Product/Exception/ProductNotFoundException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product",ProductProjector,src/Product/ProductProjector.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductProjectorTest.php
"ProductRecommendations\ContentDelivery",ProductRelationsApiV1GetRequestHandler,src/ContentDelivery/Catalog/ProductRelations/ProductRelationsApiV1GetRequestHandler.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations",tests/Unit/Suites/ContentDelivery/Catalog/ProductRelations/ProductRelationsApiV1GetRequestHandlerTest.php
"ProductRecommendations\ContentDelivery",ProductRelationsLocator,src/ContentDelivery/Catalog/ProductRelations/ProductRelationsLocator.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations",tests/Unit/Suites/ContentDelivery/Catalog/ProductRelations/ProductRelationsLocatorTest.php
"ProductRecommendations\ContentDelivery",ProductRelationsService,src/ContentDelivery/Catalog/ProductRelations/ProductRelationsService.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations",tests/Unit/Suites/ContentDelivery/Catalog/ProductRelations/ProductRelationsServiceTest.php
"ProductRecommendations\ContentDelivery",ProductRelationTypeCode,src/ContentDelivery/Catalog/ProductRelations/ProductRelationTypeCode.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations",tests/Unit/Suites/ContentDelivery/Catalog/ProductRelations/ProductRelationTypeCodeTest.php
"ProductSearch\Import\TemplateRendering",ProductSearchAutosuggestionBlockRenderer,src/Product/ProductSearchAutosuggestionBlockRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchAutosuggestionBlockRendererTest.php
"ProductSearch\Import",ProductSearchAutosuggestionMetaSnippetContent,src/Product/ProductSearchAutosuggestionMetaSnippetContent.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchAutosuggestionMetaSnippetContentTest.php
"ProductSearch\Import",ProductSearchAutosuggestionMetaSnippetRenderer,src/Product/ProductSearchAutosuggestionMetaSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchAutosuggestionMetaSnippetRendererTest.php
"ProductSearch\ContentDelivery",ProductSearchAutosuggestionRequestHandler,src/ContentDelivery/Catalog/ProductSearchAutosuggestionRequestHandler.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductSearchAutosuggestionRequestHandlerTest.php
"ProductSearch\Import",ProductSearchAutosuggestionSnippetRenderer,src/Product/ProductSearchAutosuggestionSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchAutosuggestionSnippetRendererTest.php
"ProductSearch\Import",ProductSearchAutosuggestionTemplateProjector,src/Product/ProductSearchAutosuggestionTemplateProjector.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchAutosuggestionTemplateProjectorTest.php
"ProductSearch\Import",ProductSearchDocumentBuilder,src/Product/ProductSearch/ProductSearchDocumentBuilder.php,"LizardsAndPumpkins\Product\ProductSearch",tests/Unit/Suites/Product/ProductSearch/ProductSearchDocumentBuilderTest.php
"ProductSearch\ContentDelivery",ProductSearchRequestHandler,src/ContentDelivery/Catalog/ProductSearchRequestHandler.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductSearchRequestHandlerTest.php
"ProductSearch\ContentDelivery",ProductSearchResultMetaSnippetContent,src/Product/ProductSearchResultMetaSnippetContent.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchResultMetaSnippetContentTest.php
"ProductSearch\Import",ProductSearchResultMetaSnippetRenderer,src/Product/ProductSearchResultMetaSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductSearchResultMetaSnippetRendererTest.php
"ProductListing\ContentDelivery",ProductsPerPage,src/ContentDelivery/Catalog/ProductsPerPage.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/ProductsPerPageTest.php
"Import\Tax",ProductTaxClass,src/Product/Tax/ProductTaxClass.php,"LizardsAndPumpkins\Product\Tax",tests/Unit/Suites/Product/Tax/ProductTaxClassTest.php
"Import\Product",ProductTypeCode,src/Product/ProductTypeCode.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductTypeCodeTest.php
"Import\Product\Exception",ProductTypeCodeMismatchException,src/Product/Exception/ProductTypeCodeMismatchException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Exception",ProductTypeCodeMissingException,src/Product/Exception/ProductTypeCodeMissingException.php,"LizardsAndPumpkins\Product\Exception"
"Import\Product\Composite",ProductVariationAttributeList,src/Product/Composite/ProductVariationAttributeList.php,"LizardsAndPumpkins\Product\Composite",tests/Unit/Suites/Product/Composite/ProductVariationAttributeListTest.php
"Import\Product\Composite\Exception",ProductVariationAttributesEmptyException,src/Product/Composite/Exception/ProductVariationAttributesEmptyException.php,"LizardsAndPumpkins\Product\Composite\Exception"
"Import\Product\Composite\Exception",ProductVariationAttributesNotUniqueException,src/Product/Composite/Exception/ProductVariationAttributesNotUniqueException.php,"LizardsAndPumpkins\Product\Composite\Exception"
"Import\Product",ProductWasUpdatedDomainEvent,src/Product/ProductWasUpdatedDomainEvent.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductWasUpdatedDomainEventTest.php
"Import\Product",ProductWasUpdatedDomainEventHandler,src/Product/ProductWasUpdatedDomainEventHandler.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/ProductWasUpdatedDomainEventHandlerTest.php
"Import\Product",ProductXmlToProductBuilderLocator,src/Projection/Catalog/Import/ProductXmlToProductBuilderLocator.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/ProductXmlToProductBuilderLocatorTest.php
ProductSearch,QueryOptions,src/DataPool/SearchEngine/QueryOptions.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/QueryOptionsTest.php
Logging,QueueAddLogMessage,src/Queue/QueueAddLogMessage.php,"LizardsAndPumpkins\Queue",tests/Unit/Suites/Queue/QueueAddLogMessageTest.php
"Import\Product",QueueImportCommands,src/Projection/Catalog/Import/QueueImportCommands.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/QueueImportCommandsTest.php
"DataPool\KeyGenerator",RegistrySnippetKeyGeneratorLocatorStrategy,src/SnippetKeyGeneratorLocator/RegistrySnippetKeyGeneratorLocatorStrategy.php,"LizardsAndPumpkins\SnippetKeyGeneratorLocator",tests/Unit/Suites/SnippetKeyGeneratorLocator/RegistrySnippetKeyGeneratorLocatorStrategyTest.php
"Http\Routing",ResourceNotFoundRequestHandler,src/Http/ResourceNotFoundRequestHandler.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/ResourceNotFoundRequestHandlerTest.php
"Http\Routing",ResourceNotFoundRouter,src/Http/ResourceNotFoundRouter.php,"LizardsAndPumpkins\Http",tests/Unit/Suites/Http/ResourceNotFoundRouterTest.php
"Import\Product",RobotsMetaTagSnippetRenderer,src/Product/RobotsMetaTagSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/RobotsMetaTagSnippetRendererTest.php
"Import\TemplateRendering\Exception",RootElementOfLayoutMustBeAnArrayException,src/Renderer/Exception/RootElementOfLayoutMustBeAnArrayException.php,"LizardsAndPumpkins\Renderer\Exception"
"ProductRecommendations\ContentDelivery",SameSeriesProductRelations,src/ContentDelivery/Catalog/ProductRelations/RelationType/SameSeriesProductRelations.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\RelationType",tests/Unit/Suites/ContentDelivery/Catalog/ProductRelations/RelationType/SameSeriesProductRelationsTest.php
"Util\Factory",SampleMasterFactory,src/SampleMasterFactory.php,LizardsAndPumpkins,tests/Unit/Suites/SampleMasterFactoryTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriteriaBuilder,src/DataPool/SearchEngine/SearchCriteria/SearchCriteriaBuilder.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriteriaBuilderTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionAnything,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionAnything.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionAnythingTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionEqual,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionEqual.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionEqualTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionGreaterOrEqualThan,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionGreaterOrEqualThan.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionGreaterOrEqualThanTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionGreaterThan,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionGreaterThan.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionGreaterThanTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionLessOrEqualThan,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionLessOrEqualThan.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionLessOrEqualThanTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionLessThan,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionLessThan.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionLessThanTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionLike,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionLike.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionLikeTest.php
"DataPool\SearchEngine\SearchCriteria",SearchCriterionNotEqual,src/DataPool/SearchEngine/SearchCriteria/SearchCriterionNotEqual.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria",tests/Unit/Suites/DataPool/SearchEngine/SearchCriteria/SearchCriterionNotEqualTest.php
"DataPool\SearchEngine\SearchDocument",SearchDocument,src/DataPool/SearchEngine/SearchDocument/SearchDocument.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument",tests/Unit/Suites/DataPool/SearchEngine/SearchDocument/SearchDocumentTest.php
"DataPool\SearchEngine\SearchDocument",SearchDocumentField,src/DataPool/SearchEngine/SearchDocument/SearchDocumentField.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument",tests/Unit/Suites/DataPool/SearchEngine/SearchDocument/SearchDocumentFieldTest.php
"DataPool\SearchEngine\SearchDocument",SearchDocumentFieldCollection,src/DataPool/SearchEngine/SearchDocument/SearchDocumentFieldCollection.php,"LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument",tests/Unit/Suites/DataPool/SearchEngine/SearchDocument/SearchDocumentFieldCollectionTest.php
"DataPool\SearchEngine\File\Exception",SearchEngineNotAvailableException,src/DataPool/SearchEngine/Exception/SearchEngineNotAvailableException.php,"LizardsAndPumpkins\DataPool\SearchEngine\Exception"
"DataPool\SearchEngine",SearchEngineResponse,src/DataPool/SearchEngine/SearchEngineResponse.php,"LizardsAndPumpkins\DataPool\SearchEngine",tests/Unit/Suites/DataPool/SearchEngine/SearchEngineResponseTest.php
"ProductSearch\ContentDelivery",SearchFieldToRequestParamMap,src/ContentDelivery/Catalog/Search/SearchFieldToRequestParamMap.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search",tests/Unit/Suites/ContentDelivery/Catalog/Search/SearchFieldToRequestParamMapTest.php
"ProductListing\ContentDelivery",SelectProductListingRobotsMetaTagContent,src/ContentDelivery/Catalog/SelectProductListingRobotsMetaTagContent.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/SelectProductListingRobotsMetaTagContentTest.php
Context,SelfContainedContext,src/Context/SelfContainedContext.php,"LizardsAndPumpkins\Context",tests/Unit/Suites/Context/SelfContainedContextTest.php
Context,SelfContainedContextBuilder,src/Context/SelfContainedContextBuilder.php,"LizardsAndPumpkins\Context",tests/Unit/Suites/Context/SelfContainedContextBuilderTest.php
"ProductDetail\ContentDelivery",SimpleEuroPriceSnippetTransformation,src/ContentDelivery/SnippetTransformation/SimpleEuroPriceSnippetTransformation.php,"LizardsAndPumpkins\ContentDelivery\SnippetTransformation",tests/Unit/Suites/ContentDelivery/SnippetTransformation/SimpleEuroPriceSnippetTransformationTest.php
"Import\Product",SimpleProduct,src/Product/SimpleProduct.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/SimpleProductTest.php
"Import\Product",SimpleProductBuilder,src/Projection/Catalog/Import/SimpleProductBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import",tests/Unit/Suites/Projection/Catalog/Import/SimpleProductBuilderTest.php
"Import\Product",SimpleProductXmlToProductBuilder,src/Projection/Catalog/Import/SimpleProductXmlToProductBuilder.php,"LizardsAndPumpkins\Projection\Catalog\Import"
"DataPool\KeyValueStore",Snippet,src/Snippet.php,LizardsAndPumpkins,tests/Unit/Suites/SnippetTest.php
"DataPool\KeyGenerator\Exception",SnippetCodeCanNotBeProcessedException,src/SnippetKeyGeneratorLocator/Exception/SnippetCodeCanNotBeProcessedException.php,"LizardsAndPumpkins\SnippetKeyGeneratorLocator\Exception"
Import,SnippetContainer,src/SnippetContainer.php,LizardsAndPumpkins,tests/Unit/Suites/SnippetContainerTest.php
Import,SnippetRendererCollection,src/SnippetRendererCollection.php,LizardsAndPumpkins,tests/Unit/Suites/SnippetRendererCollectionTest.php
"DataPool\SearchEngine\Query",SortOrderConfig,src/ContentDelivery/Catalog/SortOrderConfig.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/SortOrderConfigTest.php
"DataPool\SearchEngine\Query",SortOrderDirection,src/ContentDelivery/Catalog/SortOrderDirection.php,"LizardsAndPumpkins\ContentDelivery\Catalog",tests/Unit/Suites/ContentDelivery/Catalog/SortOrderDirectionTest.php
"Logging\Writer",StdOutLogMessageWriter,src/Log/Writer/StdOutLogMessageWriter.php,"LizardsAndPumpkins\Log\Writer",tests/Unit/Suites/Log/Writer/StdOutLogMessageWriterTest.php
"Import\FileStorage",StorageAgnosticFileUri,src/Utils/FileStorage/StorageAgnosticFileUri.php,"LizardsAndPumpkins\Utils\FileStorage",tests/Unit/Suites/Utils/FileStorage/StorageAgnosticFileUriTest.php
"Import\Product\Exception",TaxClassAttributeMissingForImportedProductException,src/Projection/Catalog/Import/Exception/TaxClassAttributeMissingForImportedProductException.php,"LizardsAndPumpkins\Projection\Catalog\Import\Exception"
"Import\RootTemplate\Import\Exception",TemplateFileNotReadableException,src/Renderer/Exception/TemplateFileNotReadableException.php,"LizardsAndPumpkins\Renderer\Exception"
"Import\RootTemplate\Import",TemplateProjectorLocator,src/Projection/TemplateProjectorLocator.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/TemplateProjectorLocatorTest.php
"Import\RootTemplate\Import",TemplatesApiV1PutRequestHandler,src/Projection/TemplatesApiV1PutRequestHandler.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/TemplatesApiV1PutRequestHandlerTest.php
"Import\RootTemplate",TemplateWasUpdatedDomainEvent,src/Projection/TemplateWasUpdatedDomainEvent.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/TemplateWasUpdatedDomainEventTest.php
"Import\RootTemplate",TemplateWasUpdatedDomainEventHandler,src/Projection/TemplateWasUpdatedDomainEventHandler.php,"LizardsAndPumpkins\Projection",tests/Unit/Suites/Projection/TemplateWasUpdatedDomainEventHandlerTest.php
"Import\TemplateRendering",ThemeLocator,src/Renderer/ThemeLocator.php,"LizardsAndPumpkins\Renderer",tests/Unit/Suites/Renderer/ThemeLocatorTest.php
"Translation\Exception",TranslationFileNotReadableException,src/Renderer/Translation/Exception/TranslationFileNotReadableException.php,"LizardsAndPumpkins\Renderer\Translation\Exception"
Translation,TranslatorRegistry,src/Renderer/Translation/TranslatorRegistry.php,"LizardsAndPumpkins\Renderer\Translation",tests/Unit/Suites/Renderer/Translation/TranslatorRegistryTest.php
"Import\Product\View",TwentyOneRunConfigurableProductView,src/Projection/Catalog/TwentyOneRunConfigurableProductView.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/TwentyOneRunConfigurableProductViewTest.php
Context,TwentyOneRunContextSource,src/TwentyOneRunContextSource.php,LizardsAndPumpkins,tests/Unit/Suites/TwentyOneRunContextSourceTest.php
"Util\Factory",TwentyOneRunFactory,src/TwentyOneRunFactory.php,LizardsAndPumpkins,tests/Unit/Suites/TwentyOneRunFactoryTest.php
"Import\Product\Image",TwentyOneRunProductImageFileLocator,src/Product/ProductImage/TwentyOneRunProductImageFileLocator.php,"LizardsAndPumpkins\Product\ProductImage",tests/Unit/Suites/Product/ProductImage/TwentyOneRunProductImageFileLocatorTest.php
"ProductListing\Import",TwentyOneRunProductListingTitleSnippetRenderer,src/Product/TwentyOneRunProductListingTitleSnippetRenderer.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/TwentyOneRunProductListingTitleSnippetRendererTest.php
"ProductDetail\Import\View",TwentyOneRunProductPageTitle,src/Projection/Catalog/PageTitle/TwentyOneRunProductPageTitle.php,"LizardsAndPumpkins\Projection\Catalog\PageTitle",tests/Unit/Suites/Projection/Catalog/PageTitle/TwentyOneRunProductPageTitleTest.php
"Import\Product\View",TwentyOneRunProductViewLocator,src/Projection/Catalog/TwentyOneRunProductViewLocator.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/TwentyOneRunProductViewLocatorTest.php
"Import\Product\View",TwentyOneRunSimpleProductView,src/Projection/Catalog/TwentyOneRunSimpleProductView.php,"LizardsAndPumpkins\Projection\Catalog",tests/Unit/Suites/Projection/Catalog/TwentyOneRunSimpleProductViewTest.php
"Import\Tax",TwentyOneRunTaxableCountries,src/TwentyOneRunTaxableCountries.php,LizardsAndPumpkins,tests/Unit/Suites/TwentyOneRunTaxableCountriesTest.php
"Import\Tax",TwentyOneRunTaxRate,src/Product/Tax/TaxRates/TwentyOneRunTaxRate.php,"LizardsAndPumpkins\Product\Tax\TaxRates",tests/Unit/Suites/Product/Tax/TaxRates/TwentyOneRunTaxRateTest.php
"Import\Tax",TwentyOneRunTaxServiceLocator,src/Product/Tax/TwentyOneRunTaxServiceLocator.php,"LizardsAndPumpkins\Product\Tax",tests/Unit/Suites/Product/Tax/TwentyOneRunTaxServiceLocatorTest.php
"Context\Website",TwentyOneRunWebsiteToCountryMap,src/Website/TwentyOneRunWebsiteToCountryMap.php,"LizardsAndPumpkins\Website",tests/Unit/Suites/Website/TwentyOneRunWebsiteToCountryMapTest.php
"Logging\Writer\Exception",UnableToCreateLogDirectoryException,src/Log/Writer/Exception/UnableToCreateLogDirectoryException.php,"LizardsAndPumpkins\Log\Writer\Exception"
"Logging\Writer\Exception",UnableToCreateLogFileException,src/Log/Writer/Exception/UnableToCreateLogFileException.php,"LizardsAndPumpkins\Log\Writer\Exception"
"Import\ImageStorage\ImageProcessing\Exception",UnableToCreateTargetDirectoryForProcessedImagesException,src/Image/Exception/UnableToCreateTargetDirectoryForProcessedImagesException.php,"LizardsAndPumpkins\Image\Exception"
"Context\Website\Exception",UnableToDetermineContextWebsiteException,src/Context/ContextBuilder/Exception/UnableToDetermineContextWebsiteException.php,"LizardsAndPumpkins\Context\ContextBuilder\Exception"
UNUSED,UnableToDetermineLocaleException,src/Context/Exception/UnableToDetermineLocaleException.php,"LizardsAndPumpkins\Context\Exception"
UNUSED,UnableToDetermineWebsiteContextException,src/Context/Exception/UnableToDetermineWebsiteContextException.php,"LizardsAndPumpkins\Context\Exception"
"Messaging\Command\Exception",UnableToFindCommandHandlerException,src/Exception/UnableToFindCommandHandlerException.php,"LizardsAndPumpkins\Exception"
"Messaging\Event\Exception",UnableToFindDomainEventHandlerException,src/Exception/UnableToFindDomainEventHandlerException.php,"LizardsAndPumpkins\Exception"
"DataPool\SearchEngine\FacetFieldTransformation\Exception",UnableToFindTransformationException,src/ContentDelivery/Catalog/Search/FacetFieldTransformation/Exception/UnableToFindTransformationException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation\Exception"
"Http\Routing",UnableToHandleRequestException,src/Http/Exception/UnableToHandleRequestException.php,"LizardsAndPumpkins\Http\Exception"
"Import\Tax",UnableToLocateTaxServiceException,src/Product/Tax/Exception/UnableToLocateTaxServiceException.php,"LizardsAndPumpkins\Product\Tax\Exception"
"Import\RootTemplate\Exception",UnableToLocateTemplateProjectorException,src/Exception/UnableToLocateTemplateProjectorException.php,"LizardsAndPumpkins\Exception"
"ProductRecommendations\Exception",UnableToProcessProductRelationsRequestException,src/ContentDelivery/Catalog/ProductRelations/Exception/UnableToProcessProductRelationsRequestException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception"
"Http\Routing\Exception",UnableToRouteRequestException,src/Http/Exception/UnableToRouteRequestException.php,"LizardsAndPumpkins\Http\Exception"
"Logging\Writer\Exception",UnableToWriteToLogFileException,src/Log/Writer/Exception/UnableToWriteToLogFileException.php,"LizardsAndPumpkins\Log\Writer\Exception"
"Util\Factory\Exception",UndefinedFactoryMethodException,src/Exception/UndefinedFactoryMethodException.php,"LizardsAndPumpkins\Exception"
"Translation\Exception",UndefinedTranslatorException,src/Renderer/Translation/Exception/UndefinedTranslatorException.php,"LizardsAndPumpkins\Renderer\Translation\Exception"
"ProductRecommendations\Exception",UnknownProductRelationTypeException,src/ContentDelivery/Catalog/ProductRelations/Exception/UnknownProductRelationTypeException.php,"LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception"
"Http\Exception",UnknownProtocolException,src/Http/Exception/UnknownProtocolException.php,"LizardsAndPumpkins\Http\Exception"
"Context\Website\Exception",UnknownWebsiteHostException,src/Website/Exception/UnknownWebsiteHostException.php,"LizardsAndPumpkins\Website\Exception"
"Http\Routing\Exception",UnsupportedRequestMethodException,src/Http/Exception/UnsupportedRequestMethodException.php,"LizardsAndPumpkins\Http\Exception"
"Import\ContentBlock",UpdateContentBlockCommand,src/Content/UpdateContentBlockCommand.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/UpdateContentBlockCommandTest.php
"Import\ContentBlock",UpdateContentBlockCommandHandler,src/Content/UpdateContentBlockCommandHandler.php,"LizardsAndPumpkins\Content",tests/Unit/Suites/Content/UpdateContentBlockCommandHandlerTest.php
"Import\Product",UpdateProductCommand,src/Product/UpdateProductCommand.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/UpdateProductCommandTest.php
"Import\Product",UpdateProductCommandHandler,src/Product/UpdateProductCommandHandler.php,"LizardsAndPumpkins\Product",tests/Unit/Suites/Product/UpdateProductCommandHandlerTest.php
